category,item,status,reason,path,official_url
data-types,date-transact-sql,CURRENT,当前 SQL Server 方言已有代表性用例或由现有核心 AST 直接覆盖,docs/t-sql/data-types/date-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/date-transact-sql?view=sql-server-ver17
data-types,datetime-transact-sql,CURRENT,当前 SQL Server 方言已有代表性用例或由现有核心 AST 直接覆盖,docs/t-sql/data-types/datetime-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/datetime-transact-sql?view=sql-server-ver17
data-types,datetime2-transact-sql,CURRENT,当前 SQL Server 方言已有代表性用例或由现有核心 AST 直接覆盖,docs/t-sql/data-types/datetime2-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/datetime2-transact-sql?view=sql-server-ver17
data-types,datetimeoffset-transact-sql,HOOK_ONLY,可通过类型/字面量 hook 扩展,docs/t-sql/data-types/datetimeoffset-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/datetimeoffset-transact-sql?view=sql-server-ver17
data-types,decimal-and-numeric-transact-sql,CURRENT,当前 SQL Server 方言已有代表性用例或由现有核心 AST 直接覆盖,docs/t-sql/data-types/decimal-and-numeric-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/decimal-and-numeric-transact-sql?view=sql-server-ver17
data-types,float-and-real-transact-sql,CURRENT,当前 SQL Server 方言已有代表性用例或由现有核心 AST 直接覆盖,docs/t-sql/data-types/float-and-real-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/float-and-real-transact-sql?view=sql-server-ver17
data-types,getancestor-database-engine,MODEL_REQUIRED,类型带方法、表变量、游标或 SQL Server 专有存储语义，需要专用模型,docs/t-sql/data-types/getancestor-database-engine.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/getancestor-database-engine?view=sql-server-ver17
data-types,getdescendant-database-engine,MODEL_REQUIRED,类型带方法、表变量、游标或 SQL Server 专有存储语义，需要专用模型,docs/t-sql/data-types/getdescendant-database-engine.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/getdescendant-database-engine?view=sql-server-ver17
data-types,getlevel-database-engine,MODEL_REQUIRED,类型带方法、表变量、游标或 SQL Server 专有存储语义，需要专用模型,docs/t-sql/data-types/getlevel-database-engine.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/getlevel-database-engine?view=sql-server-ver17
data-types,getreparentedvalue-database-engine,MODEL_REQUIRED,类型带方法、表变量、游标或 SQL Server 专有存储语义，需要专用模型,docs/t-sql/data-types/getreparentedvalue-database-engine.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/getreparentedvalue-database-engine?view=sql-server-ver17
data-types,getroot-database-engine,MODEL_REQUIRED,类型带方法、表变量、游标或 SQL Server 专有存储语义，需要专用模型,docs/t-sql/data-types/getroot-database-engine.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/getroot-database-engine?view=sql-server-ver17
data-types,hierarchyid-data-type-method-reference,MODEL_REQUIRED,类型带方法、表变量、游标或 SQL Server 专有存储语义，需要专用模型,docs/t-sql/data-types/hierarchyid-data-type-method-reference.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/hierarchyid-data-type-method-reference?view=sql-server-ver17
data-types,int-bigint-smallint-and-tinyint-transact-sql,CURRENT,当前 SQL Server 方言已有代表性用例或由现有核心 AST 直接覆盖,docs/t-sql/data-types/int-bigint-smallint-and-tinyint-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/int-bigint-smallint-and-tinyint-transact-sql?view=sql-server-ver17
data-types,isdescendantof-database-engine,MODEL_REQUIRED,类型带方法、表变量、游标或 SQL Server 专有存储语义，需要专用模型,docs/t-sql/data-types/isdescendantof-database-engine.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/isdescendantof-database-engine?view=sql-server-ver17
data-types,json-data-type,MODEL_REQUIRED,类型带方法、表变量、游标或 SQL Server 专有存储语义，需要专用模型,docs/t-sql/data-types/json-data-type.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/json-data-type?view=sql-server-ver17
data-types,money-and-smallmoney-transact-sql,CURRENT,当前 SQL Server 方言已有代表性用例或由现有核心 AST 直接覆盖,docs/t-sql/data-types/money-and-smallmoney-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/money-and-smallmoney-transact-sql?view=sql-server-ver17
data-types,nchar-and-nvarchar-transact-sql,CURRENT,当前 SQL Server 方言已有代表性用例或由现有核心 AST 直接覆盖,docs/t-sql/data-types/nchar-and-nvarchar-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/nchar-and-nvarchar-transact-sql?view=sql-server-ver17
data-types,nondeterministic-convert-date-literals,HOOK_ONLY,可通过类型/字面量 hook 扩展,docs/t-sql/data-types/nondeterministic-convert-date-literals.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/nondeterministic-convert-date-literals?view=sql-server-ver17
data-types,ntext-text-and-image-transact-sql,MODEL_REQUIRED,类型带方法、表变量、游标或 SQL Server 专有存储语义，需要专用模型,docs/t-sql/data-types/ntext-text-and-image-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/ntext-text-and-image-transact-sql?view=sql-server-ver17
data-types,numeric-types,REFERENCE_ONLY,官方索引/分类页，不作为独立实现单元统计支持率,docs/t-sql/data-types/numeric-types.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/numeric-types?view=sql-server-ver17
data-types,parse-database-engine,MODEL_REQUIRED,类型带方法、表变量、游标或 SQL Server 专有存储语义，需要专用模型,docs/t-sql/data-types/parse-database-engine.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/parse-database-engine?view=sql-server-ver17
data-types,precision-scale-and-length-transact-sql,REFERENCE_ONLY,官方索引/分类页，不作为独立实现单元统计支持率,docs/t-sql/data-types/precision-scale-and-length-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/precision-scale-and-length-transact-sql?view=sql-server-ver17
data-types,read-database-engine,MODEL_REQUIRED,类型带方法、表变量、游标或 SQL Server 专有存储语义，需要专用模型,docs/t-sql/data-types/read-database-engine.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/read-database-engine?view=sql-server-ver17
data-types,rowversion-transact-sql,MODEL_REQUIRED,类型带方法、表变量、游标或 SQL Server 专有存储语义，需要专用模型,docs/t-sql/data-types/rowversion-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/rowversion-transact-sql?view=sql-server-ver17
data-types,smalldatetime-transact-sql,CURRENT,当前 SQL Server 方言已有代表性用例或由现有核心 AST 直接覆盖,docs/t-sql/data-types/smalldatetime-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/smalldatetime-transact-sql?view=sql-server-ver17
data-types,sql-variant-transact-sql,MODEL_REQUIRED,类型带方法、表变量、游标或 SQL Server 专有存储语义，需要专用模型,docs/t-sql/data-types/sql-variant-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/sql-variant-transact-sql?view=sql-server-ver17
data-types,string-and-binary-types,REFERENCE_ONLY,官方索引/分类页，不作为独立实现单元统计支持率,docs/t-sql/data-types/string-and-binary-types.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/string-and-binary-types?view=sql-server-ver17
data-types,table-transact-sql,MODEL_REQUIRED,类型带方法、表变量、游标或 SQL Server 专有存储语义，需要专用模型,docs/t-sql/data-types/table-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/table-transact-sql?view=sql-server-ver17
data-types,time-transact-sql,CURRENT,当前 SQL Server 方言已有代表性用例或由现有核心 AST 直接覆盖,docs/t-sql/data-types/time-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/time-transact-sql?view=sql-server-ver17
data-types,tostring-database-engine,MODEL_REQUIRED,类型带方法、表变量、游标或 SQL Server 专有存储语义，需要专用模型,docs/t-sql/data-types/tostring-database-engine.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/tostring-database-engine?view=sql-server-ver17
data-types,uniqueidentifier-transact-sql,CURRENT,当前 SQL Server 方言已有代表性用例或由现有核心 AST 直接覆盖,docs/t-sql/data-types/uniqueidentifier-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/uniqueidentifier-transact-sql?view=sql-server-ver17
data-types,vector-data-type-half-precision-float,MODEL_REQUIRED,类型带方法、表变量、游标或 SQL Server 专有存储语义，需要专用模型,docs/t-sql/data-types/vector-data-type-half-precision-float.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/vector-data-type-half-precision-float?view=sql-server-ver17
data-types,vector-data-type,MODEL_REQUIRED,类型带方法、表变量、游标或 SQL Server 专有存储语义，需要专用模型,docs/t-sql/data-types/vector-data-type.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/vector-data-type?view=sql-server-ver17
data-types,write-database-engine,MODEL_REQUIRED,类型带方法、表变量、游标或 SQL Server 专有存储语义，需要专用模型,docs/t-sql/data-types/write-database-engine.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/write-database-engine?view=sql-server-ver17
functions,abs-transact-sql,CURRENT,当前 SQL Server 方言已有代表性用例或由现有核心 AST 直接覆盖,docs/t-sql/functions/abs-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/abs-transact-sql?view=sql-server-ver17
functions,acos-transact-sql,CURRENT,当前 SQL Server 方言已有代表性用例或由现有核心 AST 直接覆盖,docs/t-sql/functions/acos-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/acos-transact-sql?view=sql-server-ver17
functions,aggregate-functions-transact-sql,REFERENCE_ONLY,官方索引/分类页，不作为独立实现单元统计支持率,docs/t-sql/functions/aggregate-functions-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/aggregate-functions-transact-sql?view=sql-server-ver17
functions,ai-functions-transact-sql,HOOK_ONLY,可通过函数名、参数、类型或特殊字面量 hook 扩展,docs/t-sql/functions/ai-functions-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/ai-functions-transact-sql?view=sql-server-ver17
functions,ai-generate-chunks-transact-sql,MODEL_REQUIRED,函数语法作为表源、序列、特殊表达式或非普通标量调用，完整支持需要专用模型,docs/t-sql/functions/ai-generate-chunks-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/ai-generate-chunks-transact-sql?view=sql-server-ver17
functions,ai-generate-embeddings-transact-sql,MODEL_REQUIRED,函数语法作为表源、序列、特殊表达式或非普通标量调用，完整支持需要专用模型,docs/t-sql/functions/ai-generate-embeddings-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/ai-generate-embeddings-transact-sql?view=sql-server-ver17
functions,analytic-functions-transact-sql,REFERENCE_ONLY,官方索引/分类页，不作为独立实现单元统计支持率,docs/t-sql/functions/analytic-functions-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/analytic-functions-transact-sql?view=sql-server-ver17
functions,any-value-transact-sql,HOOK_ONLY,可通过函数名、参数、类型或特殊字面量 hook 扩展,docs/t-sql/functions/any-value-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/any-value-transact-sql?view=sql-server-ver17
functions,app-name-transact-sql,HOOK_ONLY,普通标量/聚合/窗口函数可由现有表达式 AST 承载,docs/t-sql/functions/app-name-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/app-name-transact-sql?view=sql-server-ver17
functions,applock-mode-transact-sql,HOOK_ONLY,普通标量/聚合/窗口函数可由现有表达式 AST 承载,docs/t-sql/functions/applock-mode-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/applock-mode-transact-sql?view=sql-server-ver17
functions,applock-test-transact-sql,HOOK_ONLY,普通标量/聚合/窗口函数可由现有表达式 AST 承载,docs/t-sql/functions/applock-test-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/applock-test-transact-sql?view=sql-server-ver17
functions,approx-count-distinct-transact-sql,CURRENT,当前 SQL Server 方言已有代表性用例或由现有核心 AST 直接覆盖,docs/t-sql/functions/approx-count-distinct-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/approx-count-distinct-transact-sql?view=sql-server-ver17
functions,approx-percentile-cont-transact-sql,HOOK_ONLY,可通过函数名、参数、类型或特殊字面量 hook 扩展,docs/t-sql/functions/approx-percentile-cont-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/approx-percentile-cont-transact-sql?view=sql-server-ver17
functions,approx-percentile-disc-transact-sql,HOOK_ONLY,可通过函数名、参数、类型或特殊字面量 hook 扩展,docs/t-sql/functions/approx-percentile-disc-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/approx-percentile-disc-transact-sql?view=sql-server-ver17
functions,ascii-transact-sql,CURRENT,当前 SQL Server 方言已有代表性用例或由现有核心 AST 直接覆盖,docs/t-sql/functions/ascii-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/ascii-transact-sql?view=sql-server-ver17
functions,asin-transact-sql,CURRENT,当前 SQL Server 方言已有代表性用例或由现有核心 AST 直接覆盖,docs/t-sql/functions/asin-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/asin-transact-sql?view=sql-server-ver17
functions,assemblyproperty-transact-sql,HOOK_ONLY,普通标量/聚合/窗口函数可由现有表达式 AST 承载,docs/t-sql/functions/assemblyproperty-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/assemblyproperty-transact-sql?view=sql-server-ver17
functions,asymkey-id-transact-sql,HOOK_ONLY,普通标量/聚合/窗口函数可由现有表达式 AST 承载,docs/t-sql/functions/asymkey-id-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/asymkey-id-transact-sql?view=sql-server-ver17
functions,asymkeyproperty-transact-sql,HOOK_ONLY,普通标量/聚合/窗口函数可由现有表达式 AST 承载,docs/t-sql/functions/asymkeyproperty-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/asymkeyproperty-transact-sql?view=sql-server-ver17
functions,atan-transact-sql,CURRENT,当前 SQL Server 方言已有代表性用例或由现有核心 AST 直接覆盖,docs/t-sql/functions/atan-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/atan-transact-sql?view=sql-server-ver17
functions,atn2-transact-sql,CURRENT,当前 SQL Server 方言已有代表性用例或由现有核心 AST 直接覆盖,docs/t-sql/functions/atn2-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/atn2-transact-sql?view=sql-server-ver17
functions,avg-transact-sql,CURRENT,当前 SQL Server 方言已有代表性用例或由现有核心 AST 直接覆盖,docs/t-sql/functions/avg-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/avg-transact-sql?view=sql-server-ver17
functions,base64-decode-transact-sql,HOOK_ONLY,可通过函数名、参数、类型或特殊字面量 hook 扩展,docs/t-sql/functions/base64-decode-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/base64-decode-transact-sql?view=sql-server-ver17
functions,base64-encode-transact-sql,HOOK_ONLY,可通过函数名、参数、类型或特殊字面量 hook 扩展,docs/t-sql/functions/base64-encode-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/base64-encode-transact-sql?view=sql-server-ver17
functions,binary-checksum-transact-sql,HOOK_ONLY,普通标量/聚合/窗口函数可由现有表达式 AST 承载,docs/t-sql/functions/binary-checksum-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/binary-checksum-transact-sql?view=sql-server-ver17
functions,bit-count-transact-sql,HOOK_ONLY,可通过函数名、参数、类型或特殊字面量 hook 扩展,docs/t-sql/functions/bit-count-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/bit-count-transact-sql?view=sql-server-ver17
functions,bit-manipulation-functions-overview,REFERENCE_ONLY,官方索引/分类页，不作为独立实现单元统计支持率,docs/t-sql/functions/bit-manipulation-functions-overview.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/bit-manipulation-functions-overview?view=sql-server-ver17
functions,cast-and-convert-transact-sql,HOOK_ONLY,CAST 已覆盖；CONVERT/TRY_CONVERT 的完整形态可通过类型/参数 hook 扩展,docs/t-sql/functions/cast-and-convert-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/cast-and-convert-transact-sql?view=sql-server-ver17
functions,ceiling-transact-sql,CURRENT,当前 SQL Server 方言已有代表性用例或由现有核心 AST 直接覆盖,docs/t-sql/functions/ceiling-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/ceiling-transact-sql?view=sql-server-ver17
functions,cert-id-transact-sql,HOOK_ONLY,普通标量/聚合/窗口函数可由现有表达式 AST 承载,docs/t-sql/functions/cert-id-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/cert-id-transact-sql?view=sql-server-ver17
functions,certencoded-transact-sql,HOOK_ONLY,普通标量/聚合/窗口函数可由现有表达式 AST 承载,docs/t-sql/functions/certencoded-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/certencoded-transact-sql?view=sql-server-ver17
functions,certprivatekey-transact-sql,HOOK_ONLY,普通标量/聚合/窗口函数可由现有表达式 AST 承载,docs/t-sql/functions/certprivatekey-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/certprivatekey-transact-sql?view=sql-server-ver17
functions,certproperty-transact-sql,HOOK_ONLY,普通标量/聚合/窗口函数可由现有表达式 AST 承载,docs/t-sql/functions/certproperty-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/certproperty-transact-sql?view=sql-server-ver17
functions,char-transact-sql,CURRENT,当前 SQL Server 方言已有代表性用例或由现有核心 AST 直接覆盖,docs/t-sql/functions/char-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/char-transact-sql?view=sql-server-ver17
functions,charindex-transact-sql,CURRENT,当前 SQL Server 方言已有代表性用例或由现有核心 AST 直接覆盖,docs/t-sql/functions/charindex-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/charindex-transact-sql?view=sql-server-ver17
functions,checksum-agg-transact-sql,CURRENT,当前 SQL Server 方言已有代表性用例或由现有核心 AST 直接覆盖,docs/t-sql/functions/checksum-agg-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/checksum-agg-transact-sql?view=sql-server-ver17
functions,checksum-transact-sql,HOOK_ONLY,普通标量/聚合/窗口函数可由现有表达式 AST 承载,docs/t-sql/functions/checksum-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/checksum-transact-sql?view=sql-server-ver17
functions,col-length-transact-sql,HOOK_ONLY,普通标量/聚合/窗口函数可由现有表达式 AST 承载,docs/t-sql/functions/col-length-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/col-length-transact-sql?view=sql-server-ver17
functions,col-name-transact-sql,HOOK_ONLY,普通标量/聚合/窗口函数可由现有表达式 AST 承载,docs/t-sql/functions/col-name-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/col-name-transact-sql?view=sql-server-ver17
functions,collation-functions-collationproperty-transact-sql,HOOK_ONLY,可通过函数名、参数、类型或特殊字面量 hook 扩展,docs/t-sql/functions/collation-functions-collationproperty-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/collation-functions-collationproperty-transact-sql?view=sql-server-ver17
functions,collation-functions-tertiary-weights-transact-sql,HOOK_ONLY,可通过函数名、参数、类型或特殊字面量 hook 扩展,docs/t-sql/functions/collation-functions-tertiary-weights-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/collation-functions-tertiary-weights-transact-sql?view=sql-server-ver17
functions,columnproperty-transact-sql,HOOK_ONLY,可通过函数名、参数、类型或特殊字面量 hook 扩展,docs/t-sql/functions/columnproperty-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/columnproperty-transact-sql?view=sql-server-ver17
functions,columns-updated-transact-sql,HOOK_ONLY,普通标量/聚合/窗口函数可由现有表达式 AST 承载,docs/t-sql/functions/columns-updated-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/columns-updated-transact-sql?view=sql-server-ver17
functions,compress-transact-sql,HOOK_ONLY,可通过函数名、参数、类型或特殊字面量 hook 扩展,docs/t-sql/functions/compress-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/compress-transact-sql?view=sql-server-ver17
functions,concat-transact-sql,CURRENT,当前 SQL Server 方言已有代表性用例或由现有核心 AST 直接覆盖,docs/t-sql/functions/concat-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/concat-transact-sql?view=sql-server-ver17
functions,concat-ws-transact-sql,CURRENT,当前 SQL Server 方言已有代表性用例或由现有核心 AST 直接覆盖,docs/t-sql/functions/concat-ws-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/concat-ws-transact-sql?view=sql-server-ver17
functions,connectionproperty-transact-sql,HOOK_ONLY,普通标量/聚合/窗口函数可由现有表达式 AST 承载,docs/t-sql/functions/connectionproperty-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/connectionproperty-transact-sql?view=sql-server-ver17
functions,connections-transact-sql,HOOK_ONLY,普通标量/聚合/窗口函数可由现有表达式 AST 承载,docs/t-sql/functions/connections-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/connections-transact-sql?view=sql-server-ver17
functions,context-info-transact-sql,HOOK_ONLY,普通标量/聚合/窗口函数可由现有表达式 AST 承载,docs/t-sql/functions/context-info-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/context-info-transact-sql?view=sql-server-ver17
functions,conversion-functions-transact-sql,REFERENCE_ONLY,官方索引/分类页，不作为独立实现单元统计支持率,docs/t-sql/functions/conversion-functions-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/conversion-functions-transact-sql?view=sql-server-ver17
functions,cos-transact-sql,CURRENT,当前 SQL Server 方言已有代表性用例或由现有核心 AST 直接覆盖,docs/t-sql/functions/cos-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/cos-transact-sql?view=sql-server-ver17
functions,cot-transact-sql,CURRENT,当前 SQL Server 方言已有代表性用例或由现有核心 AST 直接覆盖,docs/t-sql/functions/cot-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/cot-transact-sql?view=sql-server-ver17
functions,count-big-transact-sql,CURRENT,当前 SQL Server 方言已有代表性用例或由现有核心 AST 直接覆盖,docs/t-sql/functions/count-big-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/count-big-transact-sql?view=sql-server-ver17
functions,count-transact-sql,CURRENT,当前 SQL Server 方言已有代表性用例或由现有核心 AST 直接覆盖,docs/t-sql/functions/count-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/count-transact-sql?view=sql-server-ver17
functions,cpu-busy-transact-sql,HOOK_ONLY,普通标量/聚合/窗口函数可由现有表达式 AST 承载,docs/t-sql/functions/cpu-busy-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/cpu-busy-transact-sql?view=sql-server-ver17
functions,crypt-gen-random-transact-sql,HOOK_ONLY,可通过函数名、参数、类型或特殊字面量 hook 扩展,docs/t-sql/functions/crypt-gen-random-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/crypt-gen-random-transact-sql?view=sql-server-ver17
functions,cryptographic-functions-transact-sql,REFERENCE_ONLY,官方索引/分类页，不作为独立实现单元统计支持率,docs/t-sql/functions/cryptographic-functions-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/cryptographic-functions-transact-sql?view=sql-server-ver17
functions,cume-dist-transact-sql,CURRENT,当前 SQL Server 方言已有代表性用例或由现有核心 AST 直接覆盖,docs/t-sql/functions/cume-dist-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/cume-dist-transact-sql?view=sql-server-ver17
functions,current-date-transact-sql,HOOK_ONLY,可通过函数名、参数、类型或特殊字面量 hook 扩展,docs/t-sql/functions/current-date-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/current-date-transact-sql?view=sql-server-ver17
functions,current-request-id-transact-sql,HOOK_ONLY,可通过函数名、参数、类型或特殊字面量 hook 扩展,docs/t-sql/functions/current-request-id-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/current-request-id-transact-sql?view=sql-server-ver17
functions,current-timestamp-transact-sql,HOOK_ONLY,可通过函数名、参数、类型或特殊字面量 hook 扩展,docs/t-sql/functions/current-timestamp-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/current-timestamp-transact-sql?view=sql-server-ver17
functions,current-timezone-id-transact-sql,HOOK_ONLY,可通过函数名、参数、类型或特殊字面量 hook 扩展,docs/t-sql/functions/current-timezone-id-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/functions/current-timezone-id-transact-sql?view=sql-server-ver17
